,claimHeadline,articleHeadline,claimId,articleId,articleHeadlineStance
0,Apple will sell 19 million Apple Watches in 2015,"BMO forecasts 19M Apple Watch sales in 2015, with more than half selling in holiday season",8faeb4b0-c41b-11e4-88c9-eb158a06b9a5,116a3920-c41c-11e4-883c-a7fa7a3c5066,observing
1,Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years,World's oldest burger,d54aaf40-b6a8-11e4-8507-b58af63d1078,8bb10fd0-b6aa-11e4-8507-b58af63d1078,for
2,Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years,Two blokes dared to eat 20-year-old burger for charity,d54aaf40-b6a8-11e4-8507-b58af63d1078,00b6b660-b6a9-11e4-8507-b58af63d1078,for
3,Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years,Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,d54aaf40-b6a8-11e4-8507-b58af63d1078,fc92d640-b6a8-11e4-8507-b58af63d1078,for
4,Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years,20 year old burger? McDonald's burger purchased in 1995 hasn't aged a bit,d54aaf40-b6a8-11e4-8507-b58af63d1078,08c84b70-b6a9-11e4-8507-b58af63d1078,for
5,Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years,20-year-old burger: McDonald's Quarter Pounder looks eerily new after 2 decades,d54aaf40-b6a8-11e4-8507-b58af63d1078,ef4142b0-b6a8-11e4-8507-b58af63d1078,for
6,Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years,Is this the world's oldest burger? Man claims to have kept McDonald's Quarter Pounder for 20 YEARS,d54aaf40-b6a8-11e4-8507-b58af63d1078,f221f040-b6af-11e4-8507-b58af63d1078,observing
7,Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years,Is this the world's oldest burger? Man claims to have kept McDonald's Quarter Pounder for 20 YEARS,d54aaf40-b6a8-11e4-8507-b58af63d1078,e2738520-b6a8-11e4-8507-b58af63d1078,observing
8,Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years,20-Year-Old Quarter Pounder Looks About the Same,d54aaf40-b6a8-11e4-8507-b58af63d1078,f5b1f900-b6a8-11e4-8507-b58af63d1078,for
9,Apple will sell 24 million Apple Watches in the first nine months,"UBS survey finds 10 of consumers want a smartwatch, expects 24M Apple Watch sales in fiscal 2015",557db830-c28c-11e4-8747-5b024dd6dd6c,8c230a20-c2a0-11e4-8747-5b024dd6dd6c,observing
10,Apple will sell 24 million Apple Watches in the first nine months,"10 of Consumers Very Likely to Buy a Smartwatch in 2015, Suggesting 24M Apple Watches",557db830-c28c-11e4-8747-5b024dd6dd6c,653639a0-c28c-11e4-8747-5b024dd6dd6c,observing
11,400 men were castrated on the orders of an Indian spiritual guru,400 men cut their testicles off believing it would help them meet God,e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,f2e15cc0-c080-11e4-8747-5b024dd6dd6c,for
12,400 men were castrated on the orders of an Indian spiritual guru,CBI registers criminal conspiracy case against Dera chief after claims 400 male followers were forcibly castrated,e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,a95b9e00-c083-11e4-8747-5b024dd6dd6c,observing
13,400 men were castrated on the orders of an Indian spiritual guru,Guru who ordered 400 followers to be castrated so they could be closer to God is investigated for grievous bodily harm in India,e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,9cd74580-c083-11e4-8747-5b024dd6dd6c,for
14,400 men were castrated on the orders of an Indian spiritual guru,Court Orders Probe Into Complaints Of Forced Castration In Religious Dera Sect,e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,60d20470-c084-11e4-8747-5b024dd6dd6c,observing
15,400 men were castrated on the orders of an Indian spiritual guru,Dera Sacha Sauda Chief Forced Castration of 400 Devotees? CBI Files Case Against MSG: The Messenger of God Actor,e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,5bce72b0-c084-11e4-8747-5b024dd6dd6c,observing
16,400 men were castrated on the orders of an Indian spiritual guru,India: 400 men cut off their testicles to get closer to God following advice from guru,e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,1e37ffc0-c084-11e4-8747-5b024dd6dd6c,for
17,400 men were castrated on the orders of an Indian spiritual guru,"Nuts Indian guru coaxes 400 followers to cut off their testicles, grow closer to God",e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,b20d91c0-c083-11e4-8747-5b024dd6dd6c,for
18,A 600-pound Australian woman gave birth to 40-pound baby,AUSTRALIA: 600-POUND WOMAN GIVES BIRTH TO 40-POUND BABY,40055780-9db9-11e4-9ed8-9f0a86b9b537,25c2f130-9dbd-11e4-9ed8-9f0a86b9b537,for
19,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Iraq Says Arrested Woman Is Not The Wife of ISIS Leader al-Baghdadi,899afb60-7af1-11e4-b794-93ed794d7b91,cb04f9a0-7af3-11e4-b794-93ed794d7b91,against
20,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,DNA Tests Confirm Lebanon Is Holding ISIS Leader's Child,899afb60-7af1-11e4-b794-93ed794d7b91,b9a6e250-7d13-11e4-8faa-9748b2fc07a1,observing
21,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,DNA test confirms child is IS head Abu Bakr al-Baghdadi's daughter,899afb60-7af1-11e4-b794-93ed794d7b91,d041d770-7c3e-11e4-b794-93ed794d7b91,for
22,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Lebanon detains wife and son of Al-Baghdadi,899afb60-7af1-11e4-b794-93ed794d7b91,fe3b8ca0-7af1-11e4-b794-93ed794d7b91,for
23,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Lebanon confirms holding ISIS chief's kin,899afb60-7af1-11e4-b794-93ed794d7b91,3f00ef80-7c3e-11e4-b794-93ed794d7b91,for
24,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Lebanon holding IS leader's daughter and ex-wife,899afb60-7af1-11e4-b794-93ed794d7b91,1e256020-7c3e-11e4-b794-93ed794d7b91,observing
25,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Confusion Surrounds Capture Of ISIS Leader's Wife,899afb60-7af1-11e4-b794-93ed794d7b91,30fe3460-7c3e-11e4-b794-93ed794d7b91,observing
26,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Mystery surrounds arrest of woman who may be ISIS leader's wife,899afb60-7af1-11e4-b794-93ed794d7b91,4e737020-7af2-11e4-b794-93ed794d7b91,observing
27,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,"Iraq claims ISIS leader al-Baghdadi's wife has NOT been arrested, despite Lebanon insisting woman detained at border told them she was Islamist extremist's spouse",899afb60-7af1-11e4-b794-93ed794d7b91,afe6e810-7af1-11e4-b794-93ed794d7b91,against
28,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,899afb60-7af1-11e4-b794-93ed794d7b91,cc6507e0-7c3d-11e4-b794-93ed794d7b91,for
29,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Wife Of ISIS Leader Abu Bakr al-Baghdadi Detained In Lebanon,899afb60-7af1-11e4-b794-93ed794d7b91,efa03b00-7af1-11e4-b794-93ed794d7b91,for
30,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Iraq Denies Lebanon Captured Abu Bakr al-Baghdadi's Wife and Child,899afb60-7af1-11e4-b794-93ed794d7b91,bbff8670-7af1-11e4-b794-93ed794d7b91,against
31,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Isis leader Abu Bakr al-Baghdadi's wife and son detained in Lebanon,899afb60-7af1-11e4-b794-93ed794d7b91,8d050160-7af1-11e4-b794-93ed794d7b91,observing
32,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Wife and son of Islamic State leader Abu Bakr al-Baghdadi detained in Lebanon,899afb60-7af1-11e4-b794-93ed794d7b91,f4241570-7af1-11e4-b794-93ed794d7b91,for
33,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Wife and son of Isil leader Abu Bakr al-Baghdadi detained at Lebanon border,899afb60-7af1-11e4-b794-93ed794d7b91,eca91b10-7af1-11e4-b794-93ed794d7b91,for
34,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,The Arrest of the ISIS Leader's Wife and Son,899afb60-7af1-11e4-b794-93ed794d7b91,034ade30-7af2-11e4-b794-93ed794d7b91,for
35,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,"Islamic State leader's family detained by Lebanon, officials say",899afb60-7af1-11e4-b794-93ed794d7b91,4dba8af0-7af3-11e4-b794-93ed794d7b91,observing
36,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",899afb60-7af1-11e4-b794-93ed794d7b91,43192340-7af3-11e4-b794-93ed794d7b91,against
37,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Wife and child of Islamic State leader Baghdadi held in Lebanon,899afb60-7af1-11e4-b794-93ed794d7b91,916fae80-7af1-11e4-b794-93ed794d7b91,for
38,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,"Wife, child of Islamic State head Abu Bakr al-Baghdadi held in Lebanon, officials say",899afb60-7af1-11e4-b794-93ed794d7b91,69506bf0-7af2-11e4-b794-93ed794d7b91,observing
73,Jihadist Khalil al-Britani was killed,British Jihadi Killed In US Airstrike - Reports,426a9310-43e5-11e4-ba57-5b750603f392,1188b2f0-443e-11e4-94c0-515d9d816ec6,observing
74,Jihadist Khalil al-Britani was killed,Teenage British jihadi killed in US airstrikes: 19-year-old from Brighton died in US-led bombing,426a9310-43e5-11e4-ba57-5b750603f392,e7b3eda0-443d-11e4-94c0-515d9d816ec6,observing
75,Jihadist Khalil al-Britani was killed,Brit teenage jihadi killed in Syrian airstrike as Britain set to enter war,426a9310-43e5-11e4-ba57-5b750603f392,ecacd430-4441-11e4-94c0-515d9d816ec6,for
76,Jihadist Khalil al-Britani was killed,Jihadist Brit teen killed in US air strikes,426a9310-43e5-11e4-ba57-5b750603f392,fdf4d7a0-4433-11e4-94c0-515d9d816ec6,observing
77,Jihadist Khalil al-Britani was killed,British teenager Ibrahim Kamara Killed In US Airstrikes In Syria,426a9310-43e5-11e4-ba57-5b750603f392,a1992850-458a-11e4-a79e-01321ca3a48d,observing
78,Jihadist Khalil al-Britani was killed,Syria: Teenage British Jihadi from Brighton Killed in US Airstrikes,426a9310-43e5-11e4-ba57-5b750603f392,1f8e2d30-443e-11e4-94c0-515d9d816ec6,for
79,Jihadist Khalil al-Britani was killed,Brighton teenage jihadi known as Khalil al-Britani killed in Syria drone strike,426a9310-43e5-11e4-ba57-5b750603f392,e066eca0-4433-11e4-94c0-515d9d816ec6,for
80,Jihadist Khalil al-Britani was killed,British teenage jihadist killed during US air strikes on Syria,426a9310-43e5-11e4-ba57-5b750603f392,ef4eb090-4433-11e4-94c0-515d9d816ec6,observing
81,Jihadist Khalil al-Britani was killed,Brighton jihadi among five killed in Syria drone strike,426a9310-43e5-11e4-ba57-5b750603f392,f1da8760-443a-11e4-94c0-515d9d816ec6,observing
82,Jihadist Khalil al-Britani was killed,Brighton teenager killed in US air strikes in Syria,426a9310-43e5-11e4-ba57-5b750603f392,443b8840-4442-11e4-94c0-515d9d816ec6,for
83,Jihadist Khalil al-Britani was killed,British teenage jihadi believed to have been killed in Syria,426a9310-43e5-11e4-ba57-5b750603f392,d52b67d0-4433-11e4-94c0-515d9d816ec6,observing
