,claimHeadline,articleHeadline,articleHeadlineStance,articleId,claimId
1107,ISIS beheaded British aid worker Daivd Haines,"IS Beheads Briton David Cawthorne Haines, Threatens to Execute Another Briton, Alan Henning",for,ababa320-3c9a-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1108,ISIS beheaded British aid worker Daivd Haines,Unverified video shows beheading of aid worker David Haines,observing,1b745e00-3cd1-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1109,ISIS beheaded British aid worker Daivd Haines,"Hostage David Haines Murder Evil, PM Says",for,308eed10-3c9e-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1110,ISIS beheaded British aid worker Daivd Haines,British Aid Worker Confirmed Murdered By ISIS,for,bc1e5ac0-3cc4-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1111,ISIS beheaded British aid worker Daivd Haines,ISIS Video Claims to Show Beheading of British Hostage,observing,c48697f0-3c9b-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1112,ISIS beheaded British aid worker Daivd Haines,Cameron vows to hunt down IS monsters after Haines murder,for,f0acaad0-3c9c-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1113,ISIS beheaded British aid worker Daivd Haines,"David Haines Beheaded By ISIS, Execution Video Contains Threats Against UK: Reports",for,7c102db0-3c9b-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1114,ISIS beheaded British aid worker Daivd Haines,ISIS video showing beheading triggers international response,observing,2b083e10-3c9d-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1115,ISIS beheaded British aid worker Daivd Haines,ISIS Extremists Claim to Behead British Hostage David Haines,observing,74fcb240-3c9c-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1116,ISIS beheaded British aid worker Daivd Haines,ISIS Video Purports To Show Beheading Of British Aid Worker,observing,cd56ec50-3c9f-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1117,ISIS beheaded British aid worker Daivd Haines,"ISIS Video Shows Execution of David Cawthorne Haines, British Aid Worker",for,e98e92f0-3c9b-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1118,ISIS beheaded British aid worker Daivd Haines,British hostage David Haines beheaded by Islamic State terrorists,for,b8fe19b0-3c9d-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1119,ISIS beheaded British aid worker Daivd Haines,Isis video claims to show beheading of British hostage David Haines,observing,d7d610e0-3c9d-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1120,ISIS beheaded British aid worker Daivd Haines,British aid worker David Haines beheaded by ISIL,for,62495cd0-3c9b-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1121,ISIS beheaded British aid worker Daivd Haines,Unconfirmed reports saying ISIS UK Hostage David Haines Beheaded,observing,01f20340-3c9c-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1122,ISIS beheaded British aid worker Daivd Haines,David Haines beheading video confirmed genuine UK PM Cameron vows to hunt down ISIS monsters,for,f13eaa40-3c9f-11e4-bc0b-3f922b93930d,538630f0-3c24-11e4-bc0b-3f922b93930d
1123,Some ISIS fighters have contracted Ebola,HORROR: ISIS Fighters Have Reportedly Contracted Ebola,observing,5f1a8260-937f-11e4-b6bf-fdc8b7e3bcff,07ceb8b0-9298-11e4-b271-b1de57982894
1124,Some ISIS fighters have contracted Ebola,Does ISIS Have Ebola? Probably Not Media Reports It Anyway,against,01167760-936f-11e4-b6bf-fdc8b7e3bcff,07ceb8b0-9298-11e4-b271-b1de57982894
1125,Some ISIS fighters have contracted Ebola,Iraqi media says ISIS militants have contracted Ebola,observing,0a35a690-9298-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1126,Some ISIS fighters have contracted Ebola,WHO says reports of suspected Ebola cases in Iraq are untrue,against,70167590-95ca-11e4-87a8-1d5d45e62193,07ceb8b0-9298-11e4-b271-b1de57982894
1127,Some ISIS fighters have contracted Ebola,WHO probing whether ISIS fighters got Ebola,observing,3019fd20-936f-11e4-b6bf-fdc8b7e3bcff,07ceb8b0-9298-11e4-b271-b1de57982894
1128,Some ISIS fighters have contracted Ebola,ISIS cracks down on five confirmed Ebola cases among fighters: official,observing,4fcac760-954c-11e4-87a8-1d5d45e62193,07ceb8b0-9298-11e4-b271-b1de57982894
1129,Some ISIS fighters have contracted Ebola,Daash Ebola transferred to Mosul Google Translate,for,2afbd930-9298-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1130,Some ISIS fighters have contracted Ebola,IRAQI AND KURDISH MEDIA ISIS FIGHTERS HAVE CONTRACTED EBOLA,observing,8d1d3270-9299-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1131,Some ISIS fighters have contracted Ebola,IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,observing,1ce4b040-954c-11e4-87a8-1d5d45e62193,07ceb8b0-9298-11e4-b271-b1de57982894
1132,Some ISIS fighters have contracted Ebola,Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,observing,1bbd7450-9299-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1133,Some ISIS fighters have contracted Ebola,ISIS fighters have contracted Ebola: World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,observing,57f84450-9298-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1134,Some ISIS fighters have contracted Ebola,WHO investigates media reports ISIS fighters contracted Ebola,observing,eefa0b20-93b7-11e4-b6bf-fdc8b7e3bcff,07ceb8b0-9298-11e4-b271-b1de57982894
1135,Some ISIS fighters have contracted Ebola,Fears Islamic State could launch EBOLA attack on Britain after fighters contract virus,observing,6ae84f60-936f-11e4-b6bf-fdc8b7e3bcff,07ceb8b0-9298-11e4-b271-b1de57982894
1136,Some ISIS fighters have contracted Ebola,Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,against,788f77b0-9298-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1137,Some ISIS fighters have contracted Ebola,Has Ebola infected Isis militants in Mosul?,observing,814f7530-9298-11e4-b271-b1de57982894,07ceb8b0-9298-11e4-b271-b1de57982894
1138,Some ISIS fighters have contracted Ebola,WHO: Isis does not have Ebola but contingency plan being developed for Iraq,against,4085a3f0-95ca-11e4-87a8-1d5d45e62193,07ceb8b0-9298-11e4-b271-b1de57982894
