HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.claimHeadline,Input.articleHeadline,Input.articleHeadlineStance,Input.articleId,Input.claimId,Input.url,Input.source,Input.claimTruth,Input.claimCount,Input.articleCount,Input.sourceCount,Answer.stance,Answer.user_feedback,Approve,Reject
3S37Y8CWI888SY5WUMHUWNXCBB7W4O,3PFZUIOZMH4GPE0F71EZ5VH9PJ5KAR,Fact Checking,"Given a claim and a news headline, label the headline as for/against/observing","news, fact-check",$0.03,Mon Mar 27 06:27:43 PDT 2017,5,BatchId:2740824;OriginalHitTemplateId:926051491;,600,259200,Mon Mar 27 11:27:43 PDT 2017,,,33JKGHPFYD21WEJIYRV5AIW7JIKMNS,A140,Submitted,Mon Mar 27 06:51:23 PDT 2017,Mon Mar 27 06:51:38 PDT 2017,Thu Mar 30 06:51:38 PDT 2017,,,,15,0% (0/0),0% (0/0),0% (0/0),A Texas turkey farm was contaminated with Ebola,"Texas Turkey Farm Contaminated With Ebola, Over 250,000 Holiday Turkeys Infected",for,d42ca8d0-6d2d-11e4-8e10-b9c720c188ba,c9a83f00-6d2d-11e4-8e10-b9c720c188ba,http://dailybuzzlive.com/texas-turkey-farm-contaminated-ebola-holiday-turkeys-infected/,dailybuzzlive.com,false,222,1905,428,For,this task is better to searching,,
3S37Y8CWI888SY5WUMHUWNXCBB7W4O,3PFZUIOZMH4GPE0F71EZ5VH9PJ5KAR,Fact Checking,"Given a claim and a news headline, label the headline as for/against/observing","news, fact-check",$0.03,Mon Mar 27 06:27:43 PDT 2017,5,BatchId:2740824;OriginalHitTemplateId:926051491;,600,259200,Mon Mar 27 11:27:43 PDT 2017,,,3GDTJDAPVVJGT7WESP6MSL6CTMF8MH,A67,Submitted,Mon Mar 27 06:39:46 PDT 2017,Mon Mar 27 06:39:49 PDT 2017,Thu Mar 30 06:39:49 PDT 2017,,,,3,0% (0/0),0% (0/0),0% (0/0),A Texas turkey farm was contaminated with Ebola,"Texas Turkey Farm Contaminated With Ebola, Over 250,000 Holiday Turkeys Infected",for,d42ca8d0-6d2d-11e4-8e10-b9c720c188ba,c9a83f00-6d2d-11e4-8e10-b9c720c188ba,http://dailybuzzlive.com/texas-turkey-farm-contaminated-ebola-holiday-turkeys-infected/,dailybuzzlive.com,false,222,1905,428,For,{},,
3S37Y8CWI888SY5WUMHUWNXCBB7W4O,3PFZUIOZMH4GPE0F71EZ5VH9PJ5KAR,Fact Checking,"Given a claim and a news headline, label the headline as for/against/observing","news, fact-check",$0.03,Mon Mar 27 06:27:43 PDT 2017,5,BatchId:2740824;OriginalHitTemplateId:926051491;,600,259200,Mon Mar 27 11:27:43 PDT 2017,,,3JV9LGBJWUMJMPN8O3XNC2CFC55OGQ,A228,Submitted,Mon Mar 27 06:37:46 PDT 2017,Mon Mar 27 06:38:06 PDT 2017,Thu Mar 30 06:38:06 PDT 2017,,,,20,0% (0/0),0% (0/0),0% (0/0),A Texas turkey farm was contaminated with Ebola,"Texas Turkey Farm Contaminated With Ebola, Over 250,000 Holiday Turkeys Infected",for,d42ca8d0-6d2d-11e4-8e10-b9c720c188ba,c9a83f00-6d2d-11e4-8e10-b9c720c188ba,http://dailybuzzlive.com/texas-turkey-farm-contaminated-ebola-holiday-turkeys-infected/,dailybuzzlive.com,false,222,1905,428,For,{},,
3S37Y8CWI888SY5WUMHUWNXCBB7W4O,3PFZUIOZMH4GPE0F71EZ5VH9PJ5KAR,Fact Checking,"Given a claim and a news headline, label the headline as for/against/observing","news, fact-check",$0.03,Mon Mar 27 06:27:43 PDT 2017,5,BatchId:2740824;OriginalHitTemplateId:926051491;,600,259200,Mon Mar 27 11:27:43 PDT 2017,,,3Q5ZZ9ZEVPNIL0B80QP0BJVQ8SV58X,A143,Submitted,Mon Mar 27 06:49:21 PDT 2017,Mon Mar 27 06:49:36 PDT 2017,Thu Mar 30 06:49:36 PDT 2017,,,,15,0% (0/0),0% (0/0),0% (0/0),A Texas turkey farm was contaminated with Ebola,"Texas Turkey Farm Contaminated With Ebola, Over 250,000 Holiday Turkeys Infected",for,d42ca8d0-6d2d-11e4-8e10-b9c720c188ba,c9a83f00-6d2d-11e4-8e10-b9c720c188ba,http://dailybuzzlive.com/texas-turkey-farm-contaminated-ebola-holiday-turkeys-infected/,dailybuzzlive.com,false,222,1905,428,,{},,
3S37Y8CWI888SY5WUMHUWNXCBB7W4O,3PFZUIOZMH4GPE0F71EZ5VH9PJ5KAR,Fact Checking,"Given a claim and a news headline, label the headline as for/against/observing","news, fact-check",$0.03,Mon Mar 27 06:27:43 PDT 2017,5,BatchId:2740824;OriginalHitTemplateId:926051491;,600,259200,Mon Mar 27 11:27:43 PDT 2017,,,3S0TNUHWKUQDPDQ1FW7J9VJIK8HD8Y,A25,Submitted,Mon Mar 27 06:30:19 PDT 2017,Mon Mar 27 06:31:51 PDT 2017,Thu Mar 30 06:31:51 PDT 2017,,,,92,100% (3/3),0% (0/0),0% (0/0),A Texas turkey farm was contaminated with Ebola,"Texas Turkey Farm Contaminated With Ebola, Over 250,000 Holiday Turkeys Infected",for,d42ca8d0-6d2d-11e4-8e10-b9c720c188ba,c9a83f00-6d2d-11e4-8e10-b9c720c188ba,http://dailybuzzlive.com/texas-turkey-farm-contaminated-ebola-holiday-turkeys-infected/,dailybuzzlive.com,false,222,1905,428,For,{},,
3T8DUCXY0NEHXN7EGC8AQB1TT93T9R,3PFZUIOZMH4GPE0F71EZ5VH9PJ5KAR,Fact Checking,"Given a claim and a news headline, label the headline as for/against/observing","news, fact-check",$0.03,Mon Mar 27 06:27:43 PDT 2017,5,BatchId:2740824;OriginalHitTemplateId:926051491;,600,259200,Mon Mar 27 11:27:43 PDT 2017,,,37QW5D2ZRHUJR29JCM284U5ILBU8SQ,A25,Submitted,Mon Mar 27 06:34:52 PDT 2017,Mon Mar 27 06:35:17 PDT 2017,Thu Mar 30 06:35:17 PDT 2017,,,,25,100% (3/3),0% (0/0),0% (0/0),At least one of the Taliban Five exchanged for soldier Bowe Bergdahl is trying to return to militancy,One of Taliban Five in Bowe Bergdahl swap allegedly returned to militancy,observing,d5004a70-a89f-11e4-a133-7514623ae047,cdb5d5f0-a89f-11e4-a133-7514623ae047,http://www.theguardian.com/world/2015/jan/30/taliban-five-bowe-bergdahl-swap-return-militancy?utm_source=twitterfeed&utm_medium=twitter,www.theguardian.com,unknown,214,1846,30,For,{},,
3T8DUCXY0NEHXN7EGC8AQB1TT93T9R,3PFZUIOZMH4GPE0F71EZ5VH9PJ5KAR,Fact Checking,"Given a claim and a news headline, label the headline as for/against/observing","news, fact-check",$0.03,Mon Mar 27 06:27:43 PDT 2017,5,BatchId:2740824;OriginalHitTemplateId:926051491;,600,259200,Mon Mar 27 11:27:43 PDT 2017,,,3907X2AHF1DBSVR24OPDZYN4CRT2PZ,A160,Submitted,Mon Mar 27 06:30:55 PDT 2017,Mon Mar 27 06:31:20 PDT 2017,Thu Mar 30 06:31:20 PDT 2017,,,,25,0% (0/0),0% (0/0),0% (0/0),At least one of the Taliban Five exchanged for soldier Bowe Bergdahl is trying to return to militancy,One of Taliban Five in Bowe Bergdahl swap allegedly returned to militancy,observing,d5004a70-a89f-11e4-a133-7514623ae047,cdb5d5f0-a89f-11e4-a133-7514623ae047,http://www.theguardian.com/world/2015/jan/30/taliban-five-bowe-bergdahl-swap-return-militancy?utm_source=twitterfeed&utm_medium=twitter,www.theguardian.com,unknown,214,1846,30,For,{},,
3T8DUCXY0NEHXN7EGC8AQB1TT93T9R,3PFZUIOZMH4GPE0F71EZ5VH9PJ5KAR,Fact Checking,"Given a claim and a news headline, label the headline as for/against/observing","news, fact-check",$0.03,Mon Mar 27 06:27:43 PDT 2017,5,BatchId:2740824;OriginalHitTemplateId:926051491;,600,259200,Mon Mar 27 11:27:43 PDT 2017,,,3AWETUDC9309HK7AG087DCWZBM0IZE,A67,Submitted,Mon Mar 27 06:37:54 PDT 2017,Mon Mar 27 06:38:12 PDT 2017,Thu Mar 30 06:38:12 PDT 2017,,,,18,0% (0/0),0% (0/0),0% (0/0),At least one of the Taliban Five exchanged for soldier Bowe Bergdahl is trying to return to militancy,One of Taliban Five in Bowe Bergdahl swap allegedly returned to militancy,observing,d5004a70-a89f-11e4-a133-7514623ae047,cdb5d5f0-a89f-11e4-a133-7514623ae047,http://www.theguardian.com/world/2015/jan/30/taliban-five-bowe-bergdahl-swap-return-militancy?utm_source=twitterfeed&utm_medium=twitter,www.theguardian.com,unknown,214,1846,30,For,{},,
3T8DUCXY0NEHXN7EGC8AQB1TT93T9R,3PFZUIOZMH4GPE0F71EZ5VH9PJ5KAR,Fact Checking,"Given a claim and a news headline, label the headline as for/against/observing","news, fact-check",$0.03,Mon Mar 27 06:27:43 PDT 2017,5,BatchId:2740824;OriginalHitTemplateId:926051491;,600,259200,Mon Mar 27 11:27:43 PDT 2017,,,3B3WTRP3DCAQ08BVNZTGD8NP8OL92O,A140,Submitted,Mon Mar 27 06:47:48 PDT 2017,Mon Mar 27 06:48:31 PDT 2017,Thu Mar 30 06:48:31 PDT 2017,,,,43,0% (0/0),0% (0/0),0% (0/0),At least one of the Taliban Five exchanged for soldier Bowe Bergdahl is trying to return to militancy,One of Taliban Five in Bowe Bergdahl swap allegedly returned to militancy,observing,d5004a70-a89f-11e4-a133-7514623ae047,cdb5d5f0-a89f-11e4-a133-7514623ae047,http://www.theguardian.com/world/2015/jan/30/taliban-five-bowe-bergdahl-swap-return-militancy?utm_source=twitterfeed&utm_medium=twitter,www.theguardian.com,unknown,214,1846,30,Against,this task is better to searching,,
3T8DUCXY0NEHXN7EGC8AQB1TT93T9R,3PFZUIOZMH4GPE0F71EZ5VH9PJ5KAR,Fact Checking,"Given a claim and a news headline, label the headline as for/against/observing","news, fact-check",$0.03,Mon Mar 27 06:27:43 PDT 2017,5,BatchId:2740824;OriginalHitTemplateId:926051491;,600,259200,Mon Mar 27 11:27:43 PDT 2017,,,3GS6S824SR5X1QDW2T1SJGYYGJQWNI,A228,Submitted,Mon Mar 27 06:38:07 PDT 2017,Mon Mar 27 06:38:25 PDT 2017,Thu Mar 30 06:38:25 PDT 2017,,,,18,0% (0/0),0% (0/0),0% (0/0),At least one of the Taliban Five exchanged for soldier Bowe Bergdahl is trying to return to militancy,One of Taliban Five in Bowe Bergdahl swap allegedly returned to militancy,observing,d5004a70-a89f-11e4-a133-7514623ae047,cdb5d5f0-a89f-11e4-a133-7514623ae047,http://www.theguardian.com/world/2015/jan/30/taliban-five-bowe-bergdahl-swap-return-militancy?utm_source=twitterfeed&utm_medium=twitter,www.theguardian.com,unknown,214,1846,30,Observing,{},,
