HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.claimHeadline1,Input.articleHeadline1,Input.articleCount1,Input.articleHeadlineStance1,Input.claimHeadline2,Input.articleHeadline2,Input.articleCount2,Input.articleHeadlineStance2,Input.claimHeadline3,Input.articleHeadline3,Input.articleCount3,Input.articleHeadlineStance3,Input.claimHeadline4,Input.articleHeadline4,Input.articleCount4,Input.articleHeadlineStance4,Input.claimHeadline5,Input.articleHeadline5,Input.articleCount5,Input.articleHeadlineStance5,Answer.explain1,Answer.explain2,Answer.explain3,Answer.explain4,Answer.explain5,Answer.stance1,Answer.stance2,Answer.stance3,Answer.stance4,Answer.stance5,Answer.user_feedback,Approve,Reject
3TUOHPJXYH5ZQ0T6EXJZTYUA6U1WX6,34NBII25NZQW9RZTC1L8YYYYY6P2JF,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 16:39:36 PDT 2017,5,BatchId:2793845;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 16:39:36 PDT 2017,,,323Q6SJS8JO3G85Q96WFA8F38JJFHR,A123,Submitted,Sat May 06 17:53:40 PDT 2017,Sat May 06 17:56:36 PDT 2017,Sun May 07 17:56:36 PDT 2017,,,,176,100% (707/707),100% (707/707),0% (0/0),A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2301.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,This is the recording you thought you'd lost forever,2302.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,WATCH: Stan Beaton cries tears of joy when phone engineers find treasured voicemail recording of his late wife he thought was lost forever,2303.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,Widower Cries Tears Of Joy After Hearing Late Wife's Voice Again,2304.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,"A wonderful, wonderful sound: Man breaks down after hearing voicemail from his late wife that was lost for 14 years",2305.0,for,In Tears,recording,voicemail recording,Hearing,hearing,For,For,For,For,For,{},,
3TUOHPJXYH5ZQ0T6EXJZTYUA6U1WX6,34NBII25NZQW9RZTC1L8YYYYY6P2JF,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 16:39:36 PDT 2017,5,BatchId:2793845;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 16:39:36 PDT 2017,,,3EF8EXOTT238HZ68Q7KFXJROK171JK,A135,Submitted,Sat May 06 20:19:08 PDT 2017,Sat May 06 20:20:39 PDT 2017,Sun May 07 20:20:39 PDT 2017,,,,91,100% (27/27),100% (27/27),100% (27/27),A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2301.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,This is the recording you thought you'd lost forever,2302.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,WATCH: Stan Beaton cries tears of joy when phone engineers find treasured voicemail recording of his late wife he thought was lost forever,2303.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,Widower Cries Tears Of Joy After Hearing Late Wife's Voice Again,2304.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,"A wonderful, wonderful sound: Man breaks down after hearing voicemail from his late wife that was lost for 14 years",2305.0,for,Lost Voicemail Message,lost forever,tears of joy,Cries Tears Of Joy,wonderful sound:,For,For,For,For,For,{},,
3TUOHPJXYH5ZQ0T6EXJZTYUA6U1WX6,34NBII25NZQW9RZTC1L8YYYYY6P2JF,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 16:39:36 PDT 2017,5,BatchId:2793845;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 16:39:36 PDT 2017,,,3M23Y66PO3FWNOQVJ75AKG9SOVWS6L,A60,Submitted,Sat May 06 16:56:34 PDT 2017,Sat May 06 16:56:53 PDT 2017,Sun May 07 16:56:53 PDT 2017,,,,19,100% (29/29),100% (29/29),100% (28/28),A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2301.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,This is the recording you thought you'd lost forever,2302.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,WATCH: Stan Beaton cries tears of joy when phone engineers find treasured voicemail recording of his late wife he thought was lost forever,2303.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,Widower Cries Tears Of Joy After Hearing Late Wife's Voice Again,2304.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,"A wonderful, wonderful sound: Man breaks down after hearing voicemail from his late wife that was lost for 14 years",2305.0,for,supportive,supportive,supportive,supportive,supportive,For,For,For,For,For,{},,
3TUOHPJXYH5ZQ0T6EXJZTYUA6U1WX6,34NBII25NZQW9RZTC1L8YYYYY6P2JF,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 16:39:36 PDT 2017,5,BatchId:2793845;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 16:39:36 PDT 2017,,,3MAOD8E57RICQQIMCYXELZC6Y0PNX0,A148,Submitted,Sat May 06 19:00:00 PDT 2017,Sat May 06 19:01:56 PDT 2017,Sun May 07 19:01:56 PDT 2017,,,,116,100% (264/264),0% (0/0),0% (0/0),A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2301.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,This is the recording you thought you'd lost forever,2302.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,WATCH: Stan Beaton cries tears of joy when phone engineers find treasured voicemail recording of his late wife he thought was lost forever,2303.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,Widower Cries Tears Of Joy After Hearing Late Wife's Voice Again,2304.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,"A wonderful, wonderful sound: Man breaks down after hearing voicemail from his late wife that was lost for 14 years",2305.0,for,Recovered,This is,find,Hearing,hearing,For,For,For,For,For,{},,
3TUOHPJXYH5ZQ0T6EXJZTYUA6U1WX6,34NBII25NZQW9RZTC1L8YYYYY6P2JF,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 16:39:36 PDT 2017,5,BatchId:2793845;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 16:39:36 PDT 2017,,,3NQL1CS15SGEY0H5JL57EUDSM9KYVX,A16,Submitted,Sat May 06 18:23:20 PDT 2017,Sat May 06 18:24:52 PDT 2017,Sun May 07 18:24:52 PDT 2017,,,,92,98% (586/599),98% (586/599),0% (0/0),A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2301.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,This is the recording you thought you'd lost forever,2302.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,WATCH: Stan Beaton cries tears of joy when phone engineers find treasured voicemail recording of his late wife he thought was lost forever,2303.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,Widower Cries Tears Of Joy After Hearing Late Wife's Voice Again,2304.0,for,A widower heard his dead wife's voice again after a company managed to recover a deleted voicemail recording,"A wonderful, wonderful sound: Man breaks down after hearing voicemail from his late wife that was lost for 14 years",2305.0,for,Is Recovered,the recording,treasured,Voice Again,hearing voicemail,For,For,For,For,For,{},,
34HEO7RUG62IMR4R4THFMRBVDUDRAU,34NBII25NZQW9RZTC1L8YYYYY6P2JF,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 16:39:36 PDT 2017,5,BatchId:2793845;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 16:39:36 PDT 2017,,,39GXDJN2OUMZJUQN6H7DFHPQTUIV8H,A64,Submitted,Sat May 06 18:55:11 PDT 2017,Sat May 06 19:14:18 PDT 2017,Sun May 07 19:14:18 PDT 2017,,,,1147,0% (0/0),0% (0/0),0% (0/0),"IBM will cut more than 110,000 jobs this week","IBM Corp expected to cut more than 110,000 jobs in massive overhaul, report says",2306.0,observing,"IBM will cut more than 110,000 jobs this week",IBM job cuts? D.R. Horton soars on beat ATT expands in Mexico,2307.0,observing,"IBM will cut more than 110,000 jobs this week","IBM to sack 111,800 employees in record mass layoff",2308.0,observing,"IBM will cut more than 110,000 jobs this week","IBM To Cut More Than 110,000 Jobs, Report Says",2309.0,observing,"IBM will cut more than 110,000 jobs this week","IBM plans massive layoffs of up to 110,000 workers: report",2310.0,observing,"IBM Corp expected to cut more than 110,000 jobs in massive overhaul, confirms report says",IBM job cuts? D.R. Horton soars on beat ATT expands in Mexico,"IBM to sack 111,800 employees in confirms record mass layoff","IBM To Cut More Than 110,000 Jobs confirms, Report Says","IBM plans massive layoffs of up to 110,000 workers: Rumored to report",For,Observing,For,For,Observing,{},,
34HEO7RUG62IMR4R4THFMRBVDUDRAU,34NBII25NZQW9RZTC1L8YYYYY6P2JF,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 16:39:36 PDT 2017,5,BatchId:2793845;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 16:39:36 PDT 2017,,,3J4Q2Z4UTZBI4NQOILT9NAT4U94WQ1,A123,Submitted,Sat May 06 17:24:59 PDT 2017,Sat May 06 17:27:40 PDT 2017,Sun May 07 17:27:40 PDT 2017,,,,161,100% (707/707),100% (707/707),0% (0/0),"IBM will cut more than 110,000 jobs this week","IBM Corp expected to cut more than 110,000 jobs in massive overhaul, report says",2306.0,observing,"IBM will cut more than 110,000 jobs this week",IBM job cuts? D.R. Horton soars on beat ATT expands in Mexico,2307.0,observing,"IBM will cut more than 110,000 jobs this week","IBM to sack 111,800 employees in record mass layoff",2308.0,observing,"IBM will cut more than 110,000 jobs this week","IBM To Cut More Than 110,000 Jobs, Report Says",2309.0,observing,"IBM will cut more than 110,000 jobs this week","IBM plans massive layoffs of up to 110,000 workers: report",2310.0,observing,"cut more than 110,000 jobs",job cuts?,sack,Report Says,report,For,Observing,For,Observing,Observing,{},,
34HEO7RUG62IMR4R4THFMRBVDUDRAU,34NBII25NZQW9RZTC1L8YYYYY6P2JF,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 16:39:36 PDT 2017,5,BatchId:2793845;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 16:39:36 PDT 2017,,,3OLQQLKKNTX7100K2VFU43AI9A9JEJ,A148,Submitted,Sat May 06 19:04:07 PDT 2017,Sat May 06 19:06:03 PDT 2017,Sun May 07 19:06:03 PDT 2017,,,,116,100% (264/264),0% (0/0),0% (0/0),"IBM will cut more than 110,000 jobs this week","IBM Corp expected to cut more than 110,000 jobs in massive overhaul, report says",2306.0,observing,"IBM will cut more than 110,000 jobs this week",IBM job cuts? D.R. Horton soars on beat ATT expands in Mexico,2307.0,observing,"IBM will cut more than 110,000 jobs this week","IBM to sack 111,800 employees in record mass layoff",2308.0,observing,"IBM will cut more than 110,000 jobs this week","IBM To Cut More Than 110,000 Jobs, Report Says",2309.0,observing,"IBM will cut more than 110,000 jobs this week","IBM plans massive layoffs of up to 110,000 workers: report",2310.0,observing,expected to,unrelated,to sack,To Cut,plans,For,Observing,For,For,For,{},,
34HEO7RUG62IMR4R4THFMRBVDUDRAU,34NBII25NZQW9RZTC1L8YYYYY6P2JF,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 16:39:36 PDT 2017,5,BatchId:2793845;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 16:39:36 PDT 2017,,,3RYC5T2D741SWF8NJE4E06VDXY4RP3,A16,Submitted,Sat May 06 18:31:39 PDT 2017,Sat May 06 18:38:14 PDT 2017,Sun May 07 18:38:14 PDT 2017,,,,395,98% (586/599),98% (586/599),0% (0/0),"IBM will cut more than 110,000 jobs this week","IBM Corp expected to cut more than 110,000 jobs in massive overhaul, report says",2306.0,observing,"IBM will cut more than 110,000 jobs this week",IBM job cuts? D.R. Horton soars on beat ATT expands in Mexico,2307.0,observing,"IBM will cut more than 110,000 jobs this week","IBM to sack 111,800 employees in record mass layoff",2308.0,observing,"IBM will cut more than 110,000 jobs this week","IBM To Cut More Than 110,000 Jobs, Report Says",2309.0,observing,"IBM will cut more than 110,000 jobs this week","IBM plans massive layoffs of up to 110,000 workers: report",2310.0,observing,report says,IBM job cuts?,to sack,To Cut,massive layoffs,Observing,Observing,For,For,For,{},,
34HEO7RUG62IMR4R4THFMRBVDUDRAU,34NBII25NZQW9RZTC1L8YYYYY6P2JF,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 16:39:36 PDT 2017,5,BatchId:2793845;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 16:39:36 PDT 2017,,,3YJ6NA41JCOBYRPAB9V5YF9MNH9JP2,A60,Submitted,Sat May 06 16:42:39 PDT 2017,Sat May 06 16:43:01 PDT 2017,Sun May 07 16:43:01 PDT 2017,,,,22,100% (29/29),100% (29/29),100% (28/28),"IBM will cut more than 110,000 jobs this week","IBM Corp expected to cut more than 110,000 jobs in massive overhaul, report says",2306.0,observing,"IBM will cut more than 110,000 jobs this week",IBM job cuts? D.R. Horton soars on beat ATT expands in Mexico,2307.0,observing,"IBM will cut more than 110,000 jobs this week","IBM to sack 111,800 employees in record mass layoff",2308.0,observing,"IBM will cut more than 110,000 jobs this week","IBM To Cut More Than 110,000 Jobs, Report Says",2309.0,observing,"IBM will cut more than 110,000 jobs this week","IBM plans massive layoffs of up to 110,000 workers: report",2310.0,observing,supportive,supportive,supportive,supportive,supportive,For,For,For,For,For,{},,
