claimH1,stances1,claimCount1,claimH2,stances2,claimCount2,claimH3,stances3,claimCount3
Apple will sell 19 million Apple Watches in 2015,(1) appleinsider.com: For For For For Observing<br/><br/>,1.0,Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years,(1) au.tv.yahoo.com: Against Against Against For For<br/><br/>(2) www.9news.com.au: Against Against Against For Observing<br/><br/>(3) www.dailymail.co.uk: Against Against Against For For<br/><br/>(4) www.examiner.com: Against Against For Observing Observing<br/><br/>(5) www.examiner.com: For For For Observing Observing<br/><br/>(6) www.irishmirror.ie: Against Against For For Observing<br/><br/>(7) www.mirror.co.uk: Against Against For For Observing<br/><br/>(8) www.newser.com: For For For Observing Observing<br/><br/>,2.0,Apple will sell 24 million Apple Watches in the first nine months,(1) appleinsider.com: For For For For Observing<br/><br/>(2) www.macrumors.com: For For For Observing Observing<br/><br/>,3.0
400 men were castrated on the orders of an Indian spiritual guru,(1) metro.co.uk: Against For For For For<br/><br/>(2) www.dailymail.co.uk: Against Against For For For<br/><br/>(3) www.dailymail.co.uk: For For For For Observing<br/><br/>(4) www.huffingtonpost.in: For For For For Observing<br/><br/>(5) www.ibtimes.co.in: For For For For Observing<br/><br/>(6) www.ibtimes.co.uk: For For For For For<br/><br/>(7) www.nydailynews.com: For For For For Observing<br/><br/>,4.0,A 600-pound Australian woman gave birth to 40-pound baby,(1) worldnewsdailyreport.com: For For For For For<br/><br/>,5.0,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,(1) online.wsj.com: Against Against Against Against Observing<br/><br/>(2) time.com: Against For For For Observing<br/><br/>(3) timesofindia.indiatimes.com: For For For For Observing<br/><br/>(4) www.aljazeera.com: Against For For Observing Observing<br/><br/>(5) www.asianage.com: For For For Observing Observing<br/><br/>(6) www.bbc.com: For For For For Observing<br/><br/>(7) www.buzzfeed.com: Against Against For For Observing<br/><br/>(8) www.cnn.com: Against Observing Observing Observing Observing<br/><br/>(9) www.dailymail.co.uk: Against Against For For Observing<br/><br/>(10) www.dailymail.co.uk: For For For For Observing<br/><br/>(11) www.huffingtonpost.com: For For For For Observing<br/><br/>(12) www.ibtimes.co.in: Against Against Against For Observing<br/><br/>(13) www.independent.co.uk: For For For For Observing<br/><br/>(14) www.smh.com.au: Against For For For For<br/><br/>(15) www.telegraph.co.uk: Against For For For For<br/><br/>(16) www.theatlantic.com: For For For Observing Observing<br/><br/>(17) www.theglobeandmail.com: For For For For Observing<br/><br/>(18) www.theglobeandmail.com: Against Against Against Against nan<br/><br/>(19) www.theguardian.com: For For For For Observing<br/><br/>(20) www.washingtonpost.com: Against For For For Observing<br/><br/>,6.0
Jihadist Khalil al-Britani was killed,(1) news.sky.com: For For Observing Observing Observing<br/><br/>(2) www.dailymail.co.uk: Against For For For Observing<br/><br/>(3) www.dailystar.co.uk: For For For For Observing<br/><br/>(4) www.express.co.uk: For For For For Observing<br/><br/>(5) www.huffingtonpost.co.uk: Against For For For Observing<br/><br/>(6) www.ibtimes.co.uk: For For For For Observing<br/><br/>(7) www.independent.co.uk: For For For For Observing<br/><br/>(8) www.mirror.co.uk: For For For Observing Observing<br/><br/>(9) www.telegraph.co.uk: For For For For For<br/><br/>(10) www.theargus.co.uk: Against Against For For Observing<br/><br/>(11) www.theguardian.com: Against Observing Observing Observing Observing<br/><br/>,7.0,Amazon will open its first physical store in NY this year,(1) gizmodo.com: For For For For Observing<br/><br/>(2) online.wsj.com: For For For For For<br/><br/>(3) theweek.com: For For For Observing Observing<br/><br/>(4) www.businessinsider.com: For For For Observing Observing<br/><br/>(5) www.cnbc.com: For For For For For<br/><br/>(6) www.engadget.com: Against For For For Observing<br/><br/>(7) www.theverge.com: For For For For Observing<br/><br/>(8) www.washingtonpost.com: For For For Observing Observing<br/><br/>,8.0,President Obama ordered the Federal Reserve to adopt the Euro,(1) nationalreport.net: For For For For For<br/><br/>,9.0
The Apple Watch will include an AMOLED panel from LG Display,(1) www.digitimes.com: For For For Observing Observing<br/><br/>,10.0,Apple will launch a 12 MacBook Air in 2015,(1) 9to5mac.com: For For For For For<br/><br/>(2) bgr.com: For For For For Observing<br/><br/>(3) gizmodo.com: For For For Observing Observing<br/><br/>(4) techcrunch.com: For For For For For<br/><br/>(5) www.forbes.com: For For For For For<br/><br/>(6) www.geek.com: For For For For Observing<br/><br/>(7) www.ibtimes.com: For For For For For<br/><br/>(8) www.macrumors.com: For For For For For<br/><br/>(9) www.macworld.com: For For For Observing Observing<br/><br/>(10) www.macworld.co.uk: For For Observing Observing Observing<br/><br/>(11) www.slashgear.com: Against For For Observing Observing<br/><br/>(12) www.techtimes.com: For For For Observing Observing<br/><br/>(13) www.telegraph.co.uk: For For Observing Observing Observing<br/><br/>(14) www.theverge.com: Observing Observing Observing Observing Observing<br/><br/>,11.0,"The larger Apple Watch Edition will cost 10,000",(1) grail-watch.com: Against Against For For nan<br/><br/>(2) www.businessinsider.com: Against For For For Observing<br/><br/>(3) www.ibtimes.co.uk: For For For Observing Observing<br/><br/>(4) www.usatoday.com: For For For Observing Observing<br/><br/>,12.0
Apple will hold a special medialaunch event in February,(1) 9to5mac.com: Against Against Against Against Against<br/><br/>(2) appleinsider.com: For Observing Observing Observing Observing<br/><br/>(3) bgr.com: For For For Observing Observing<br/><br/>(4) www.igen.fr: For For For For For<br/><br/>(5) www.macrumors.com: For For For Observing Observing<br/><br/>(6) www.ubergizmo.com: Observing Observing Observing Observing Observing<br/><br/>,13.0,Apple is buying Path,(1) appleinsider.com: For For For Observing Observing<br/><br/>(2) gizmodo.com: For For Observing Observing Observing<br/><br/>(3) investorplace.com: For Observing Observing Observing Observing<br/><br/>(4) pando.com: For For For For Observing<br/><br/>(5) pando.com: Against Against Against Observing Observing<br/><br/>(6) valleywag.gawker.com: Against Observing Observing Observing Observing<br/><br/>(7) www.bizjournals.com: For For Observing Observing Observing<br/><br/>(8) www.bizjournals.com: Against For For Observing Observing<br/><br/>(9) www.businessinsider.com: Against For Observing Observing nan<br/><br/>(10) www.businessinsider.in: For For For For Observing<br/><br/>(11) www.cultofmac.com: For For Observing Observing Observing<br/><br/>(12) www.ibtimes.com: Against Against For For Observing<br/><br/>(13) www.macrumors.com: For For For Observing Observing<br/><br/>(14) www.slashgear.com: Against For For Observing Observing<br/><br/>,14.0,Apple will reveal a refreshed Apple TV at the March 9th Spring Forward Event,(1) 9to5mac.com: For For For Observing Observing<br/><br/>,15.0
Apple will sell 50 million Apple Watches in 2015,(1) bgr.com: Against Against For For Observing<br/><br/>(2) www.cultofmac.com: For For For Observing Observing<br/><br/>,16.0,Apple Watch will only be sold in Apple Stores at launch,(1) www.apfelpage.de: For For For For Observing<br/><br/>(2) www.cultofmac.com: For For For Observing Observing<br/><br/>,17.0,Apple Watch battery will only last 2.5 to 4 hours of active use,(1) appleinsider.com: For For For For Observing<br/><br/>(2) gizmodo.com: For For For For For<br/><br/>(3) www.theverge.com: For For For For Observing<br/><br/>,18.0
Apple Watch battery doesn't last more than one day,(1) 9to5mac.com: For For For For For<br/><br/>(2) appleinsider.com: For For For For Observing<br/><br/>(3) bgr.com: Against For For For For<br/><br/>(4) gizmodo.com: For For For For Observing<br/><br/>(5) recode.net: For For For For For<br/><br/>(6) www.businessinsider.com: For For For For For<br/><br/>(7) www.cultofmac.com: For For For For For<br/><br/>(8) www.macrumors.com: For For For For Observing<br/><br/>,19.0,The Apple Watch will ship with a diagnostics port,(1) 9to5mac.com: Against For For For For<br/><br/>(2) appleinsider.com: Against For For For For<br/><br/>(3) www.macrumors.com: For For For Observing Observing<br/><br/>,20.0,The Digital Crown on the Apple Watch will come in different colors.,(1) idevicedailys.com: For For For Observing Observing<br/><br/>,21.0
"The gold Apple Watch Edition will cost between 4,000 and 5,000 USD",(1) 9to5mac.com: For For For Observing Observing<br/><br/>(2) appleinsider.com: For For Observing Observing Observing<br/><br/>(3) gizmodo.com: For For For Observing Observing<br/><br/>(4) gigaom.com: Against For For Observing Observing<br/><br/>(5) www.bgr.in: Against For For For Observing<br/><br/>(6) www.cultofmac.com: Against For For For Observing<br/><br/>(7) www.igen.fr: Against Against For Observing Observing<br/><br/>(8) www.macrumors.com: Against For For Observing Observing<br/><br/>(9) www.networkworld.com: Against For For Observing Observing<br/><br/>(10) www.techtimes.com: For For For For Observing<br/><br/>,22.0,"The gold Apple Watch Edition will start at 4,999 USD",(1) appleinsider.com: For For For Observing Observing<br/><br/>(2) www.cnet.com: For For For Observing Observing<br/><br/>(3) www.iphoneincanada.ca: For For Observing Observing Observing<br/><br/>,23.0,The Apple Watch will launch in February,(1) 9to5mac.com: Against Against For Observing Observing<br/><br/>(2) bgr.com: For Observing Observing Observing Observing<br/><br/>(3) wearabletechnologies.co.uk: For For Observing Observing Observing<br/><br/>(4) www.besttechie.com: For Observing Observing Observing Observing<br/><br/>(5) www.cnbc.com: Against For For For Observing<br/><br/>(6) www.cultofmac.com: Against For For Observing Observing<br/><br/>(7) www.gsmarena.com: Against Against For For For<br/><br/>(8) www.techtimes.com: For For For Observing Observing<br/><br/>,24.0
The gold Apple Watch Edition will retail for 950 USD,(1) blogs.barrons.com: For For For For Observing<br/><br/>(2) macdailynews.com: For For For For Observing<br/><br/>(3) www.macobserver.com: For For For For Observing<br/><br/>,25.0,The Apple Watch Edition has less gold than typical 18k gold,(1) bgr.com: For For For Observing Observing<br/><br/>(2) www.forbes.com: Against For For For Observing<br/><br/>(3) www.slashgear.com: For For For Observing Observing<br/><br/>,26.0,The Apple Watch is sufficiently water resistant to wear in the shower,(1) 9to5mac.com: For For For For Observing<br/><br/>(2) gadgets.ndtv.com: For For For For Observing<br/><br/>(3) www.cultofmac.com: For For For For For<br/><br/>(4) www.geekwire.com: For For For Observing Observing<br/><br/>(5) www.igen.fr: For For For For Observing<br/><br/>(6) www.macobserver.com: Against For For For Observing<br/><br/>(7) www.slashgear.com: Against For For For For<br/><br/>(8) www.ubergizmo.com: For For Observing Observing Observing<br/><br/>,27.0
The Apple Watch will be available in Germany at launch,(1) 9to5mac.com: For For Observing Observing nan<br/><br/>(2) bgr.com: Against For For For Observing<br/><br/>(3) thenextweb.com: For For For For Observing<br/><br/>(4) www.businessinsider.com: For For For For For<br/><br/>(5) www.macworld.com: For For Observing Observing Observing<br/><br/>(6) www.slashgear.com: For For Observing Observing nan<br/><br/>,28.0,"Developers have limited access to Apple Watch sensors and features, to make simpler apps that don't drain battery",(1) mobilemarketingmagazine.com: For For For For Observing<br/><br/>(2) www.businessinsider.com: For For For For Observing<br/><br/>,29.0,Apple Watch will have 512 MB of RAM and 4GB or 8GB storage options,(1) appleinsider.com: Against For For Observing Observing<br/><br/>(2) bgr.com: Against Against For Observing Observing<br/><br/>(3) gadgets.ndtv.com: For For For For For<br/><br/>(4) www.businessinsider.com: For For For For Observing<br/><br/>(5) www.techradar.com: Against For For Observing Observing<br/><br/>,30.0
